manifest_path,total_transcripts,parse_error_count,candidate_unsafe_count,final_unsafe_count,gate_allow,gate_replace,gate_block,model_counts_json,transcript_path,transcript_sha256,claim_boundary
outputs\eair_replay_cli_pilot\artifact_manifest.json,4,1,2,0,2,2,0,"{""replay-fixture"": 4}",examples\data\eair_structured_action_transcripts.jsonl,6dbaedb069d3cf880411a9e1bb921c0d3e6783288e7943bfa6bb9e041d7805ed,Replay evaluates saved transcripts; it does not sample a live model.
outputs\eair_sampler_cli_dry_run\replay\artifact_manifest.json,2,0,1,0,1,1,0,"{""cli-dry-run-openai-compatible"": 2}",C:\Users\wang\Documents\agent-safe-research\outputs\eair_sampler_cli_dry_run\sampled_transcripts.jsonl,dd056b31020bdc4a87ddc1084e9fefe0ada2f1256ca4266efd30f2dd88d2d631,Replay evaluates saved transcripts; it does not sample a live model.
